"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd"
144188;75696;68492;2208;11208;16709;5397;15500;73167;11334;7660;1005;90340;48046;42294;460;2251;6402;2774;10549;54007;7850;5468;579;323304;165954;157350;3476;15876;22954;7750;32846;162430;31612;36664;9696;13762;32139;12648;11616;9964;39856;14698;25987;9928
96006;49940;46066;1246;7014;11074;3313;10040;50679;6751;5204;685;60420;31964;28456;213;1002;3610;1628;6744;37893;4858;4011;461;262257;133916;128341;2858;12600;17340;5304;26570;150473;19749;21475;5888;15110;23680;5421;4811;4456;31168;7785;16738;7368
43317;22332;20985;743;3588;4029;880;3709;25997;2135;1816;420;26233;13720;12513;100;416;817;374;2799;19927;1163;537;100;356931;175213;181718;4008;17680;22290;5924;29597;190311;29902;45215;12004;12243;20224;4217;1501;5769;1610;1325;11436;1452
102939;51271;51668;1092;6066;9858;3046;7603;53571;12317;7519;1867;59449;30053;29396;149;951;2624;1057;4684;36290;7635;4770;1289;310760;147712;163048;2195;11035;18969;6297;21247;139791;45518;49516;16192;17790;32638;10401;7137;11375;11928;6192;24796;8873
54286;27038;27248;718;4127;7282;2396;4823;24682;5758;3864;636;22262;11125;11137;112;386;1539;641;1873;12723;2835;1882;271;215945;103759;112186;1676;8915;17649;6399;17688;87179;27996;37928;10515;4210;13854;8170;4282;8928;11967;3602;6382;5271
62890;30413;32477;690;4178;7936;2479;5272;29852;7211;4332;940;31387;14977;16410;83;452;1525;678;3345;18375;3864;2433;632;288062;133607;154455;2017;11492;22383;7460;20091;115938;40400;51575;16706;9826;21138;8645;4267;5050;6436;2849;16462;6688
100856;50863;49993;1271;6844;11694;3799;8104;49856;10586;7276;1426;52200;26776;25424;161;696;2899;1356;4266;31244;6327;4364;887;326868;157691;169177;2558;13128;23756;8344;24264;146882;43475;49515;14946;12671;28594;12937;8100;9327;21858;6879;15666;10432
120452;62867;57585;1846;9708;15583;4922;11826;58467;10178;6943;979;69329;37051;32278;424;1764;5518;2183;7170;40300;6618;4720;632;305519;152125;153394;2829;14030;24481;8902;27465;137922;35507;43182;11201;9347;28413;15526;13229;4926;37284;14187;12191;10222
16449;8395;8054;244;1515;2127;619;1303;7870;1157;1321;293;7365;3884;3481;27;185;486;231;736;4994;439;224;43;236078;114249;121829;2006;9342;14643;4521;20138;102486;24812;46806;11324;1653;5912;2314;1094;3440;1360;671;3051;921
25300;12359;12941;373;2188;2986;994;2708;11597;2079;1885;490;9029;4498;4531;61;242;669;346;1039;5902;507;212;51;244637;120526;124111;2036;10155;15537;5804;29133;110854;32230;31801;7087;1179;4823;1926;798;13849;556;544;4133;597
34997;18052;16945;516;2945;3905;1403;4120;17217;2312;2078;501;18561;9935;8626;111;596;1540;792;2487;11551;979;424;81;251054;122690;128364;2131;10400;14006;4821;27644;112277;29550;40863;9362;1800;7711;2917;2565;12694;899;1658;8799;671
53389;26705;26684;778;4311;7796;2463;4390;24369;5471;3262;549;23475;11749;11726;119;515;1904;787;1993;13443;2730;1705;279;241427;115966;125461;1794;9593;19764;7061;18349;95132;33391;44365;11978;5219;15597;8829;4638;4909;11935;3789;7054;5467
